alpha,l1_ratio,rmse,mae,r2
0.6,0.6,0.8317884179944764,0.6647524814105722,0.019698951776764728
0.6,0.6,0.8317884179944764,0.6647524814105722,0.019698951776764728
0.7,0.7,0.832725785743381,0.667898097502809,0.017488244494447747
1.0,1.0,0.8328280500742669,0.672504249193216,0.017246911564584355
